Planning Area Code,Planning Area Name
AM,ANG MO KIO
BD,BEDOK
BS,BISHAN
BL,BOON LAY
BK,BUKIT BATOK
BM,BUKIT MERAH
BP,BUKIT PANJANG
BT,BUKIT TIMAH
CC,CENTRAL WATER CATCHMENT
CH,CHANGI
CB,CHANGI BAY
CK,CHOA CHU KANG
CL,CLEMENTI
DT,DOWNTOWN CORE
GL,GEYLANG
HG,HOUGANG
JE,JURONG EAST
JW,JURONG WEST
KL,KALLANG
LK,LIM CHU KANG
MD,MANDAI
ME,MARINA EAST
MS,MARINA SOUTH
MP,MARINE PARADE
MU,MUSEUM
NT,NEWTON
NE,NORTH-EASTERN ISLANDS
NV,NOVENA
OR,ORCHARD
OT,OUTRAM
PR,PASIR RIS
PL,PAYA LEBAR
PN,PIONEER
PG,PUNGGOL
QT,QUEENSTOWN
RV,RIVER VALLEY
RC,ROCHOR
SL,SELETAR
SB,SEMBAWANG
SE,SENGKANG
SG,SERANGOON
SM,SIMPANG
SR,SINGAPORE RIVER
SI,SOUTHERN ISLANDS
SV,STRAITS VIEW
SK,SUNGEI KADUT
TM,TAMPINES
TN,TANGLIN
TH,TENGAH
TP,TOA PAYOH
TS,TUAS
WI,WESTERN ISLANDS
WC,WESTERN WATER CATCHMENT
WD,WOODLANDS
YS,YISHUN
?,
